State,"Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013","Homeless Unaccompanied Youth and Children, 2013","Sheltered Homeless Unaccompanied Youth and Children, 2013","Unsheltered Homeless Unaccompanied Youth and Children, 2013","Homeless Unaccompanied Children, 2013","Sheltered Homeless Unaccompanied Children, 2013","Unsheltered Homeless Unaccompanied Children, 2013","Homeless Unaccompanied Young Adults, 2013","Sheltered Homeless Unaccompanied Young Adults, 2013","Unsheltered Homeless Unaccompanied Young Adults, 2013"
NH,"1,447","1,245",202,798,626,172,649,619,30,255,135,120,226,118,108,29,17,12,125,112,13,116,89,27,1,0,1,115,89,26
NJ,"12,002","10,603","1,399","6,093","4,916","1,177","5,909","5,687",222,"1,237",847,390,"1,002",638,364,235,209,26,540,420,120,696,602,94,28,27,1,668,575,93
NM,"2,819","2,391",428,"1,786","1,411",375,"1,033",980,53,525,306,219,399,240,159,126,66,60,243,183,60,403,321,82,81,61,20,322,260,62
NV,"8,443","3,698","4,745","7,597","2,899","4,698",846,799,47,890,377,513,884,375,509,6,2,4,950,477,473,"1,922",229,"1,693",442,37,405,"1,480",192,"1,288"
NY,"77,430","73,273","4,157","31,235","27,214","4,021","46,195","46,059",136,"6,317","3,885","2,432","4,045","1,673","2,372","2,272","2,212",60,"4,659","4,201",458,"3,670","3,417",253,173,150,23,"3,497","3,267",230
OH,"12,325","10,987","1,338","7,611","6,472","1,139","4,714","4,515",199,"1,753","1,207",546,"1,677","1,135",542,76,72,4,"1,212","1,050",162,912,768,144,53,52,1,859,716,143
OK,"4,408","3,262","1,146","3,179","2,320",859,"1,229",942,287,719,330,389,617,260,357,102,70,32,437,338,99,480,365,115,105,85,20,375,280,95
OR,"13,822","6,432","7,390","8,994","3,602","5,392","4,828","2,830","1,998","3,043",723,"2,320","2,444",588,"1,856",599,135,464,"1,494",709,785,"1,204",488,716,188,90,98,"1,016",398,618
PA,"15,086","13,727","1,359","7,973","6,767","1,206","7,113","6,960",153,"1,681","1,010",671,"1,536",889,647,145,121,24,"1,462","1,290",172,850,763,87,34,34,0,816,729,87
PR,"4,128","1,402","2,726","3,470","1,057","2,413",658,345,313,"2,130",261,"1,869","1,629",256,"1,373",501,5,496,82,40,42,153,72,81,1,0,1,152,72,80
RI,"1,384","1,267",117,862,753,109,522,514,8,251,198,53,243,190,53,8,8,0,97,95,2,73,62,11,2,2,0,71,60,11
SC,"6,544","3,411","3,133","4,736","2,339","2,397","1,808","1,072",736,483,143,340,453,125,328,30,18,12,636,345,291,319,163,156,4,2,2,315,161,154
SD,"1,094",755,339,557,394,163,537,361,176,217,71,146,117,42,75,100,29,71,125,106,19,63,49,14,7,7,0,56,42,14
TN,"9,528","6,321","3,207","6,909","4,632","2,277","2,619","1,689",930,"2,219","1,162","1,057","1,929","1,079",850,290,83,207,991,728,263,598,420,178,48,23,25,550,397,153
TX,"29,615","17,525","12,090","20,758","9,681","11,077","8,857","7,844","1,013","5,535","2,168","3,367","4,770","1,677","3,093",765,491,274,"3,878","2,007","1,871","2,072",989,"1,083",568,183,385,"1,504",806,698
UT,"3,277","2,859",418,"1,959","1,593",366,"1,318","1,266",52,454,349,105,347,268,79,107,81,26,327,290,37,140,110,30,13,12,1,127,98,29
VA,"7,625","6,603","1,022","4,532","3,587",945,"3,093","3,016",77,"1,356",875,481,"1,262",797,465,94,78,16,719,625,94,314,260,54,4,3,1,310,257,53
VI,482,119,363,444,81,363,38,38,0,87,0,87,87,0,87,0,0,0,33,2,31,19,12,7,0,0,0,19,12,7
VT,"1,454","1,270",184,701,547,154,753,723,30,217,140,77,183,110,73,34,30,4,128,111,17,86,68,18,7,7,0,79,61,18
WA,"17,760","12,707","5,053","10,617","6,032","4,585","7,143","6,675",468,"2,196","1,076","1,120","1,927",955,972,269,121,148,"1,318","1,058",260,"1,136",787,349,125,95,30,"1,011",692,319
WI,"6,104","5,736",368,"3,005","2,703",302,"3,099","3,033",66,521,383,138,449,313,136,72,70,2,552,528,24,382,329,53,22,16,6,360,313,47
WV,"2,240","1,612",628,"1,544","1,038",506,696,574,122,432,250,182,390,211,179,42,39,3,329,292,37,252,162,90,14,11,3,238,151,87
WY,953,501,452,677,306,371,276,195,81,244,116,128,221,116,105,23,0,23,137,110,27,107,10,97,32,0,32,75,10,65
Total,"591,768","394,698","197,070","369,571","203,127","166,444","222,197","191,571","30,626","102,994","37,568","65,426","86,455","29,418","57,037","16,539","8,150","8,389","55,779","34,909","20,870","45,616","23,463","22,153","6,197","2,522","3,675","39,419","20,941","18,478"
